Date;Period;BE;DE;FR;NL;RAM
06/08/2016;9;-0.10783;-0.03817;-0.04449;0;245.6122
06/08/2016;10;-0.11247;-0.05087;-0.06359;0;247.8662
06/08/2016;10;0;0;-1;0;3292
06/08/2016;10;0.00467;0.08135;0.0386;-0.15826;788.3105
06/08/2016;10;0.02521;-0.05027;-0.0506;-0.03138;338.3363
06/08/2016;10;0.02494;-0.04902;-0.06697;-0.01976;298.4015
06/08/2016;10;0.05085;-0.19492;-0.08288;-0.23487;1376.8646
06/08/2016;10;-0.11084;-0.04769;-0.05639;0;247.78
06/08/2016;10;-0.10917;-0.03496;-0.04412;0;247.6036
06/08/2016;10;0.03422;-0.19646;-0.0827;-0.27123;1366.2934
06/08/2016;10;0;-0.06844;-0.17317;0;267.5153
06/08/2016;10;-0.0126;-0.06351;-0.17152;0;268.0271
06/08/2016;10;-0.09041;-0.27279;-0.16659;-0.4244;1450.421
06/08/2016;10;-0.0449;-0.24656;-0.3864;-0.14855;711.9954
06/08/2016;10;0.07191;-0.15664;-0.08364;-0.18056;1224.446
06/08/2016;10;0.0123;0.12276;0.06585;0.40121;977.0341
06/08/2016;10;0;-1;0;0;4400
06/08/2016;10;0.00701;0.17378;0.0915;-0.05992;834.9328
06/08/2016;10;0.01123;-0.04987;-0.11996;0;199.7399
06/08/2016;10;-0.10509;-0.05765;-0.15151;0;267.6436
06/08/2016;10;-0.11466;-0.04135;-0.04821;0;260.6636
06/08/2016;10;0;-0.08796;-0.19067;0;299.6391
06/08/2016;10;-0.12934;-0.06632;-0.12934;0;247.7342
06/08/2016;10;-0.1146;-0.04101;-0.04784;0;260.7653
06/08/2016;10;0;0;1;0;4708
06/08/2016;10;0.00915;0.27371;0.17869;0.01721;1067.9002
06/08/2016;10;-0.1129;-0.03741;-0.05815;0;247.9844
06/08/2016;10;-0.04891;-0.05691;-0.16479;0;268.0058
06/08/2016;10;-0.11455;-0.03794;-0.04609;0;260.6995
06/08/2016;10;-0.00119;-0.07933;-0.17006;0;268.1083
06/08/2016;10;-0.12715;-0.07668;-0.12715;0;247.5007
06/08/2016;10;-1;0;0;0;4500
06/08/2016;11;-0.10622;-0.03494;-0.04389;0;240.6075
